case_id,budget,method_id,paired_eligible,ineligibility_reason,source_terminal_status,comparator_terminal_status,delta_energy_hartree,delta_absolute_fci_error_hartree,source_parameter_count,comparator_parameter_count,reduction_parameter_count_percent,source_operators_blocks,comparator_operators_blocks,reduction_operators_blocks_percent,source_cnot_count,comparator_cnot_count,reduction_cnot_count_percent,source_cnot_depth,comparator_cnot_depth,reduction_cnot_depth_percent,source_total_depth,comparator_total_depth,reduction_total_depth_percent
h6-1.5,HIGH,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,7.352454844955503e-07,7.352454844955503e-07,137,133,2.9197080291970803,79,78,1.2658227848101267,879,877,0.22753128555176336,306,305,0.32679738562091504,1595,1582,0.8150470219435737
h6-1.5,HIGH,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-1.5,HIGH,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,1.0953710871675071e-07,1.0953710871675071e-07,137,133,2.9197080291970803,79,79,0.0,879,867,1.3651877133105803,306,306,0.0,1595,1562,2.0689655172413794
h6-1.5,HIGH,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,1.0953710871675071e-07,1.0953710871675071e-07,137,133,2.9197080291970803,79,79,0.0,879,867,1.3651877133105803,306,306,0.0,1595,1562,2.0689655172413794
h6-3.0,LOW,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,149,149,0.0,95,95,0.0,785,785,0.0,294,294,0.0,1493,1493,0.0
h6-3.0,LOW,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,9.127054667601442e-11,9.127054667601442e-11,149,148,0.6711409395973155,95,95,0.0,785,785,0.0,294,294,0.0,1493,1493,0.0
h6-3.0,LOW,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-3.0,LOW,v5-sequential-with-rebuilding,False,comparator_not_completed,COMPLETED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-3.0,MEDIUM,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,149,149,0.0,95,95,0.0,785,785,0.0,294,294,0.0,1493,1493,0.0
h6-3.0,MEDIUM,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,3.2353995038647554e-09,3.2353995038647554e-09,149,147,1.342281879194631,95,95,0.0,785,785,0.0,294,294,0.0,1493,1490,0.20093770931011387
h6-3.0,MEDIUM,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,9.127099076522427e-11,9.127099076522427e-11,149,148,0.6711409395973155,95,95,0.0,785,785,0.0,294,294,0.0,1493,1493,0.0
h6-3.0,MEDIUM,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,9.127099076522427e-11,9.127099076522427e-11,149,148,0.6711409395973155,95,95,0.0,785,785,0.0,294,294,0.0,1493,1493,0.0
h6-3.0,HIGH,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,149,149,0.0,95,95,0.0,785,785,0.0,294,294,0.0,1493,1493,0.0
h6-3.0,HIGH,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,3.9676675722688515e-08,3.9676675722688515e-08,149,145,2.684563758389262,95,95,0.0,785,785,0.0,294,294,0.0,1493,1487,0.40187541862022774
h6-3.0,HIGH,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h6-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,8.571901854992348e-09,8.571901854992348e-09,149,146,2.0134228187919465,95,95,0.0,785,781,0.5095541401273885,294,294,0.0,1493,1479,0.9377093101138647
h6-3.0,HIGH,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,8.571901854992348e-09,8.571901854992348e-09,149,146,2.0134228187919465,95,95,0.0,785,781,0.5095541401273885,294,294,0.0,1493,1479,0.9377093101138647
beh2-3.0,LOW,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,38,38,0.0,32,32,0.0,284,284,0.0,94,94,0.0,458,458,0.0
beh2-3.0,LOW,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,5.390588064813073e-08,5.390588064813073e-08,38,37,2.6315789473684212,32,31,3.125,284,275,3.1690140845070425,94,89,5.319148936170213,458,445,2.8384279475982535
beh2-3.0,LOW,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beh2-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,6.044409417427232e-10,6.044409417427232e-10,38,37,2.6315789473684212,32,31,3.125,284,275,3.1690140845070425,94,94,0.0,458,445,2.8384279475982535
beh2-3.0,LOW,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,6.044409417427232e-10,6.044409417427232e-10,38,37,2.6315789473684212,32,31,3.125,284,275,3.1690140845070425,94,94,0.0,458,445,2.8384279475982535
beh2-3.0,MEDIUM,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,38,38,0.0,32,32,0.0,284,284,0.0,94,94,0.0,458,458,0.0
beh2-3.0,MEDIUM,structural-magnitude-pruning,True,NA,COMPLETED,COMPLETED,5.390588064813073e-08,5.390588064813073e-08,38,37,2.6315789473684212,32,31,3.125,284,275,3.1690140845070425,94,89,5.319148936170213,458,445,2.8384279475982535
beh2-3.0,MEDIUM,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beh2-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,2.7479385877882123e-08,2.7479385877882123e-08,38,36,5.2631578947368425,32,31,3.125,284,275,3.1690140845070425,94,92,2.127659574468085,458,442,3.493449781659389
beh2-3.0,MEDIUM,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,2.7479385877882123e-08,2.7479385877882123e-08,38,36,5.2631578947368425,32,31,3.125,284,275,3.1690140845070425,94,92,2.127659574468085,458,442,3.493449781659389
